player,RMSA
Haksal,18.8544935904618
Molly,11.765084162267812
Gator,10.79888994487484
IZaYaKI,10.293900496090199
Marve1,9.712491294955765
Fate,8.675459648491932
MirroR,7.953792916243488
Bdosin,7.851459826706718
punk,7.636180836614277
FEARLESS,7.4744144158258345
moth,6.889783044033544
FunnyAstro,6.889183177183019
Choihyobin,6.261794883589748
Erster,6.126405151060449
Logix,6.074167737347277
Nenne,5.982846206473783
Danteh,5.935822065154012
Schwi,5.829107378728023
Fleta,5.751254741565575
Chara,5.557154115947854
SLIME,5.440022301815406
ameng,5.422469272514028
Heesu,5.38478011586434
Highly,5.357396533152258
Rascal,4.68340561001889
Jmac,4.51386024234235
Adora,4.3307176208012015
Viol2t,4.2800769166654336
numlocked,4.196392836379679
SP9RK1E,4.016407033121162
Anamo,3.9674610279182145
JJonak,3.9674610279182057
HOTBA,3.9674610279182017
Mano,3.967461027918179
axxiom,3.951541358469879
BERNAR,3.919549472388926
sHockWave,3.7004568477885567
NoSmite,3.6223045733305823
LhCloudy,3.541011940445886
KSP,3.5400922193979816
BEBE,3.4895680472068134
LIP,3.475650318332369
NotE,3.466497635746431
Alarm,3.1765331443011426
mikeyy,2.8538199894169156
HyP,2.84196011191517
Void,2.8385078458516575
BigG00se,2.819163083890098
Poko,2.774261302408531
Jecse,2.5289361014475507
GangNamJin,2.4386115350903306
SADO,2.4244552104654775
Fielder,2.406136889283311
DREAMER,2.2996345494019272
Dogman,2.0929513227271954
Eileen,2.084372682064635
bqb,2.0164780135956093
sinatraa,1.9997208245432652
GodsB,1.9704225945722824
Kruise,1.8451260583335274
SoOn,1.787651972446095
eqo,1.709117318379695
ryujehong,1.6983599669090241
Stratus,1.6104029966047853
SeoMinSoo,1.4781434540497884
Agilities,1.375596551693249
Kodak,1.3274795298464146
FDGod,1.321152626468039
Jerry,1.3132189408873631
BenBest,0.955554035584108
Paintbrush,0.9135004043518841
babybay,0.8881558264800922
shu,0.8631782551338111
Rio,0.863178255133806
Cr0ng,0.8631782551338004
Shax,0.8508251107541029
Yaki,0.7766248281126539
Kris,0.7766248281126213
Rapel,0.6720261911157388
Happy,0.5511907909704911
Doha,0.5122114929356076
Decay,0.5122114929356074
Crimzo,0.5122114929356061
Gamsu,0.5122114929355998
blase,0.4068412355046558
Profit,0.3827502986032259
ivy,0.19193155921503996
Ria,0.09028667070845221
Lastro,-0.024475645427672797
Mcgravy,-0.024475645427672922
RaiN,-0.02447564542767412
Baconjack,-0.030248544943013267
NiCOgdh,-0.037194932254846526
JJANU,-0.05954063553749922
Fuze,-0.16253290476661683
Luffy,-0.19897012525922825
AimGod,-0.2588767006633995
ArK,-0.2588767006634044
rOar,-0.25887670066345014
Halo,-0.29169937693890724
Fury,-0.34980609194303913
MekO,-0.376516806137541
SPACE,-0.5727826488605683
Shaz,-0.572782648860569
Birdring,-0.5727826488605736
Masaa,-0.6258428549492527
diem,-0.637142472480693
smurf,-0.6836950135870823
LiNkzr,-0.7833580416422118
Closer,-0.801643498946003
Boombox,-0.8408937026092557
KSF,-0.8753007561817487
Swimmer,-0.9029829364053005
nero,-0.909206962767541
Gesture,-1.0161279012818973
KariV,-1.0415603137448746
Nevix,-1.0415603137448899
frd,-1.044488633859169
SharP,-1.1565497618566116
ColourHex,-1.1946823133442515
Myunb0ng,-1.1946823133442612
sayaplayer,-1.2398531854830308
RoKy,-1.3114587059155023
Pokpo,-1.3218406009214683
ChipSa,-1.3863318389455401
Although,-1.4495155561602808
Hydration,-1.5201261729508384
Leave,-1.5480807029596024
Kellex,-1.5752276661629034
JinMu,-1.578329247902635
Elsa,-1.5783292479026685
Fissure,-1.6316264391624569
byrem,-1.6619867069777041
Carcar,-1.685899259930558
ShRedLock,-1.6858992599305758
Roolf,-1.6858992599305775
Dalton,-1.6858992599305873
KSAA,-1.685899259930597
super,-1.7126187458948745
Corey,-1.821324497664079
ELLIVOTE,-1.830962504288325
Ttuba,-1.8789177038924454
Fits,-1.8842195262440689
Mouffin,-1.9059480052059516
iDK,-1.9302210470566297
Guxue,-1.9302210470566357
Libero,-1.9348400274893616
Hanbin,-1.9355533559785665
SASIN,-2.020507717765044
ILLICIT,-2.266969824847313
GiG,-2.3241101948296086
Glister,-2.504591060543826
Munchkin,-2.507901254231501
ANS,-2.808793878458831
Surefour,-2.9022410535292376
DDing,-2.912746895713898
Trill,-2.954286142810818
HarryHook,-2.991591145220948
Edison,-3.063423218059597
Xzi,-3.124558820376282
tobi,-3.1365205542366352
GARGOYLE,-3.4551789517589886
Apply,-3.5645678648256265
Karayan,-3.6670310405077324
Greyy,-3.9269443747304735
Rawkus,-3.953995904838404
Kyo,-3.9652078621551294
OGE,-4.113794589306473
LeeJaegon,-4.417914679127565
Lengsa,-4.424386757623737
Krillin,-4.6152589361645004
Stand1,-4.635906569974113
neptuNo,-4.693975860814053
WhoRu,-4.918825003884996
Ado,-4.996643005841184
Bazzi,-5.164939303645438
Muma,-5.1687295044782555
Beast,-5.23795315012458
Tsuna,-5.386356107719112
ColdesT,-5.419789094263395
carpe,-5.42649893152655
SAEBYEOLBE,-5.618593603207442
Hawk,-5.637972712469835
SanGuiNar,-5.913852622841989
Yveltal,-6.532148038294153
Clestyn,-6.586673437699285
zYKK,-6.630643863000967
STRIKER,-6.969996476009093
ATing,-7.000798520416583
Jihun,-7.180984207652749
Babel,-7.209248692644765
brussen,-7.270833879938017
Architect,-7.467105396377298
Stitch,-7.5994696352672015
Fusions,-7.654124926045663
Jaru,-8.526575565104062
Twilight,-9.14933411905679
Creative,-9.735679352950774
Michelle,-12.46480244616203
